Ticket,Authority
أقسم بالله شي يقهر وزارة التجارة قبل كم سنة كنت اخذ حقي في اقل من اسبوع يرجع لي حقي والحين التطبيق فاشل وصعوبه في رفع الشكوى ولا اقدر اخذ حقي وش الحل,وزارة التجارة
"هذا تطبيق مرسول هذي ثاني مره يسوون هذي الحركه، يكتب في التطبيق التوصيل بـ5 بعد وضع المنتجات المطلوبه تكتشف ان سعر التوصيل اضعاف عن المذكور في الصفحه الرئيسيه
 
 المطعم المقصود بيت اللقيمات
 سعر التوصيل مكتوب 5 ريال ولكن ااخدعه توصلك بعد إرسال الطلب",الهيئة العامة للنقل
"وزارة التجارة تستدعي 6 منشآت عطور لتنظيمها مسابقات تجارية مخالفة لنظام مكافحة الغش التجاري، وأعلنت عن جوائز : (طائرات خاصة - ""نياق"" - فيلا سكنية - سيارات - أطقم ذهب) وغيرها، واشترطت الشراء للدخول في السحب ..
 
 وجاري استكمال الإجراءات النظامية بحقها تمهيداً لاحالتها للجهات المختصة.",وزارة التجارة
نفس هذا الشخص مسوي إعلان في مخيم مرتضى السلمان في الحساااء والإعلان عن شنطة فيها نص كيلو عسل,وزارة التجارة
"تاريخ تقديم الطلب 16 مارس 2024
 تاريخ استلام الطلب تاريخ 31 مارس 2024
 
 بينما الشركة لم تقوم بتجهيز الطلب حتى تاريخه
 رغم التواصل لا يوجد رد ولا حتى وزارة التجارة",وزارة التجارة
وش ذي الشركه الي ما فيها احد صاحي عندي طلب استرجاع لها اسبوعين عندي ويرسلون لي الشركه وما يجي المندوب احاول اقدم شكوا موقعهم زباله ومافي تجاوب,الهيئة العامة للنقل
طيب انا دفعت ??? والغوها والى الان مارجعت وش الوضع,وزارة التجارة
هل يحق للمتجر وضع شرط عدم ارجاع المنتج اذا كان عليه عرض مثل الموجود بالصورة !؟,وزارة التجارة
"يقول أحدهم اتصلت على هاتف 1900 لأبلغ عن حالت تستر تجاري .. طلب مني الأسم الثلاثي للمتستر عليه .. والاسم الثلاثي للمتستر وإسم الشركة او المنشأت ورقم سجلها التجاري 
 يبدو أن من وضع النظام أجنبي يحمي الأجانب . وين التحريات .. ما نشاهده من إلقاء",وزارة التجارة
الرجاء توفير لي مندوب استرجاع لي الطلبية رقم البوليصة/ 50044091580,الهيئة العامة للنقل
هل يمكن لشخص استفادة من رخصة بلدي وسجل تجاري وهوية وكشف حساب في نصب او اخد ديون على منشاة وهو غير صاحبها جاني واحد ولف علي بكلام كذا وللاسف رسلت له ماهو اجراءات او هل مابيستفيذ من معلومات؟,وزارة التجارة
"اسوء تجاوب واسوء توصيل 
 مرسل شحنة عند طريق زاجل بتاريخ ????/??/? ثم استلموتها انتم برقم CRDSAL1207192624 
 والى الان لم تصل الشحنة لوجهتها المطلوب مايقارب شهر كامل !!!!!",الهيئة العامة للنقل
"هذا كلام فاضي!!!!! 
 تواصلوا ? موزعين ويطلبون الموقع وبعد مانرسل مايتجاوب ويجي اليوم الثاني مندوب جديد وعلى هالحال 
 وكل موزع اهمج من الثاني اصلا",الهيئة العامة للنقل
ياشيوخ يا اوادم انتم كل يوم لكم كلام ولكم سوالف جديده اذا ماتبون تلتزمون بالضمان لاتضحكون على الناس,وزارة التجارة
تم اكمال بيانات رفع الشكوى وارجو ان لايتم اقفال الشكوى الا بعد وصول حقي كامل غير كذا لم تحل المشكله,وزارة التجارة
"متى يرجعون الفلوس مماطله بالتاخير عدم استلام المنتج ، بسبب عدم التوفر لديهم مع العلم تم دفع المبلغ كامل 
 
 مافيه اي تجاوب بالاتصال او السناب او تويتر",وزارة التجارة
السلام عليكم، ناقل لي عندهم طلبية والمندوب مايوصل ولا يرد وخدمة العملاء ماترد,الهيئة العامة للنقل
"السلام عليكم ورحمة الله وبركاته عندي في الغرفة التجارية نرجو تحديث بيانات السجل التجاري 1010525758
 موسسسه علي صالح عبدلله الكريديس",وزارة التجارة
"سلام عليكم 
 دفعت مبلغ 750 ريال عن طريق التحويل حق صاحبه مطبعه على انه يخلص شغلي خلال اسبوع والحين صار لي شهر ونص وهو يماطل فيني ايش الاجراء الى اقدر اتخذه معها",وزارة التجارة
أحاول التواصل مع متجر السيف غاليري وشركة ارامكس من الأمس ولم يتم التجاوب معي وحل مشكلتي وصلني طقم تالف ومكسر وجودة التغليف رديئة ولم يكتب على البوكس قابل للكسر خدمة العملاء سيئة ولاتتجاوب أرجوالرد وحل المشكلة,وزارة التجارة
طلبت هذا العرض منهم والمرتبة م وصلتني وفوق هذا وصلني الطلب وهو في حاله رثه سيئة لابعد درجات السوء راح اقدم في حقكم بلاغ لوزارة التجارة وحسبي الله فيكم ونعم الوكيل!!!,وزارة التجارة
السلام عليكم ارجو تحديث بيانات السجل التجاري,وزارة التجارة
للاسف ماعندك احد خدمه سيئه وكثير يشتكون منكم اذا هذا وضعكم راح تخسرون عملائكم وتجارتكم لي اسبوع اطارد وراكم محد يرد ولا لقيت حل لمشكلتي طلبت استرجاع للمنتج وسويت استرجاع ولا جاتني رساله على البريد ولا احد يرد كيف نحلها ؟,وزارة التجارة
"السلام عليكم 
 عندي طلبية أبي استرجعها لكن المتجر رفض الاسترجاع بحجة ان الوقت المسموح للاسترجاع انتهى مع العلم ان سياسة الاستبدال والاسترجاع الخاصة بالمتجر تسمح للعميل الاسترجاع والاستبدال في غضون 7 أيام علمًا بأن مضى فقط خمس أيام من استلامي للطلبية ؟",وزارة التجارة
يرجي تحديث بيانات السجل التجاري 7015598027,وزارة التجارة
اسوء شركة زفت فزفت مو معقولة الطلب له اسبوعين بالمستودع ومو راضين توصلونه؟,الهيئة العامة للنقل
هل يحق للمندوب شركات الاتصال بيع اجهزة الواي فاي على الشارع؟,الهيئة العامة للنقل
"هل يستطيع مواطني دول مجلس التعاون الخليجي انشاء مؤسسة بالسعودية؟ 
 وكم التكلفة في تلك الحالة؟",وزارة التجارة
طلبت من الابليكيشن و تم استقطاع المبلغ و الان المطعم كنسل الطلب المفروض عملية استرجاع المبلغ ما تاخذ ثواني مثل وقت الدفع و مافي شي في الابليكشن يعرض مشكلة رفض المحل و استرجاع الأموال,الهيئة العامة للنقل
أكتب إليكم للتعبير عن استيائي العميق من خدمة السيارات التي قدمتها شركة المجدوعي في الدمام. عند إحضار سيارتي لإجراء الصيانة الروتينية وإصلاح السقف البانورامي وصوت صدع في الكونسول الأوسط شعرت بخيبة أمل شديدة عندما اكتشفت خدوشًا على مسند الذراع لم تكن موجودة من قبل,وزارة التجارة
"تم تقديم بلاغ! ولم يتاخذ اي اجراء لا انكار الجهة المعنية ان الخدوش موجوده مسبقاً! رغم الخدوش حدثت بعد الصيانة
 
 كيف استطيع ان اخذ حقي؟!",وزارة التجارة
اسوى شركة شحن مرت علي بحياتي الطلب الى الان ما وصل كملت شهربدون فايده لاترد علي تقول تم التواصل خاص وفي الخاص ماعندك فايده؟ غلطة عمر لشركه عساف تعاملهم معاكم السي مانتو قد الشغل لا تشحنوخافو الله في رمضان ياسيئين التعامل,الهيئة العامة للنقل
طلبت من متجر من التيك توك ودفعت اونلاين ولي اسبوعين الطلبيه ماوصلتني واخر شي اليوم اسالهم يقول مايصير كليوم تسالني متى توصلك ؟,وزارة التجارة
ياناس لاحد يطلب قسم بالله اخذو فلوسي ولا احد يرد والغيت الطلب ولا جاني رد لي 7 ايام فلوسي راحت,وزارة التجارة
سلام عليكم طلبت شماغ العيد من متجر طلع ترند الايام,وزارة التجارة
لي خمس شحنات حاطينها في كل موقع تعبت منكم برفع شكوى فيكم ي وزارة التجاره شوفوا حل معهم او شي كل شحناتي موزعينها ع مناطق المملكه كل يوم اكلمكم هنا حتى الاتصال يخلون الرد الالي خدمة سيئه,الهيئة العامة للنقل
اهلين كيف اقدم شكوى على متجر الكتروني,وزارة التجارة
"السلام عليكم
 الاسم الانجليزي في السجل التجاري غير مطابق للاسم العربي و سبب لي مشكله في التحديث في البنك
 ايش الحل ؟ كيف التعديل
 اسم شركة",وزارة التجارة
الرابط لا يعمل وكل مره نفس الشي شوفوا لنا حل معاهم,وزارة التجارة
"وصلت الطلبية امس، واضطريت اخذها علشان قيمتها مدفوعة، قالوا لي سوي استرجاع
 من امس وانا احاول اسوي استرجاع ويظهر لي ان حالة الطلب غير مكتملة!!!!!
 حاولت اتواصل معاكم تويتر وكالعادة ماتردون، ارسلت ايميل مايوصلكم!! اتصلت مشغول الخط طول الوقت
 يعني وبعدين معاكم؟ لا توصيل ولا خدمة عميل",وزارة التجارة
"السلام عليكم ورحمة الله وبركاته
 الساده وزارة التجاره للاسف كل شركة تعمل موقع تسوق اونلاين ونحن كمستهلك نقوم بالشراء وعندما يتم الشراء والدفع تقوم الشركه بالتلاعب والتاخير دوم رقيب او حساب 
 مثل شركة",وزارة التجارة
متى توصيل الطلب بعد سنه مثلاً هذا كلامكم من اول اسبوع دون مصداقيه,وزارة التجارة
"انا اشتريت سياره جديده اصفار لكن انا المالك الثاني , جيت ابي ادخلها على الوكيل , قال ما اسجلها بالضمان الا لمن تجيب اي فاتورة شراء السياره وتجيب شهاده مكان تخزين السياره , علمًا ان المعرض لم يعطيني فاتورة شراء , السياره تعتبر مستعمله لكن اصفار",وزارة التجارة
مو معقوله يابنده على تاريخك الطويل الا انو بعض موظفينك اسلوبهم سيء جدا مثل موظف الاسترجاع فرع الاندلس مول اللي قام بقطع فاتورتي بعذر انه من حقه يقطعها لانه المفروض اني ما اخذ فاتورتي اللي اصلا دافع قيمتها.,وزارة التجارة
شريت من الاستقرام فستان ولاه ضيق وعاري ابرجعه قالت الترجيع تدفعين 50 والاستبدال تدفعين 30,وزارة التجارة
مافيه اي سهولة في تطبيقكم اذا انت تجبرني ارفع لك في الموقع صورة فاتورة الشراء من موقع المتجر الالكتروني اذا المتجر من الاساس لم يرسل فاتورة على الايميل او الجوال وترفض اكمال عملية رفع البلاغ,وزارة التجارة
"جددت السجل التجاري ولكن خدمات الغرفة التجارية لم تتجدد رغم ان الأشتراك معفي، ورفعت اكثر من طلب ولكن جدوى 
 ارجو الحل",وزارة التجارة
اتصل عليكم وارسل خاص وارسل محادثه عبر التطبيق ولايوجد رد هل سوف يتم حل الاشكاليه او سوف يتم تصعيد شكوى للبنك المركزي,ساما
فيه فستان طلبته وأبي ارجعه لانه كبير رفضوا الموقع الترجيع السبب انه انت استخدمته كود خصم هل يحق لهم يرفضون إرجاع الفستان؟! مع العلم فقط اكتفوا بتبديل الفستان مع علم انه طلبت سمول وجاء واسع مع انه كاتبين انه سمول فا ايش فائدة التبديل ابي ارجعه,وزارة التجارة
"وزارة التجارة تؤكد أن جوائز ""اليانصيب"" مخالفة للنظام في المملكة ومن الأنشطة المحظورة 
 
 واستدعاء منشآت تجارية وأفراد قاموا بتوزيع أموال نقدية داخل المنتجات، و نظموا جوائز على سلع تجارية باشتراط الشراء .
 ويتم استكمال الإجراءات النظامية بحقهم ، لإحالة المخالفين إلى النيابة العامة.",وزارة التجارة
انا اشتريت عطر قيمته 149 معلن عنه خالد العليان قيمة علاجي دفعتها عشان الهديه والله لي اسبوعين ولسه ماوصلني الطلب,وزارة التجارة
عندنا سجل تجاري خاص بالوقف وانتهى وعند الدخول لمنصة الاعمال لتجديد السجل يتعذر ولانستطيع فماهي طريقة تجديد سجل تجاري للوقف,وزارة التجارة
الرجاء حل مشكله ارسلل لخدمه العملاء مايردون ارسلهم. رقم طلب تقولون غير صحيح نداء لوزارة التجارة,وزارة التجارة
"ياخي شوفوا لكم حل مع ستارلينكس
 مو طبيعي شحنتي بتكمل شهر عندهم واترجاهم انها اشياء مهمه والمناديب يرفضون التوصيل 
 وخدمه العملاء ما يردون واذا ردوا قعدوا يسلكون 
 لنا !!!! دافعه فلوس ع طلبيه مهمه وما جات بالوقت اللي احتاجه",الهيئة العامة للنقل
مطلوب عاجلا 809675 رقم الطلب افادة تجارية,وزارة التجارة
"السلام عليكم
 اواجة مشكلة في اصدار سجل تجاري من موقع الوزارة",وزارة التجارة
"السلام عليكم .. ومبارك عليكم الشهر. متى من الممكن استلام تعويض فترة بقاء السيارة عندكم في الصيانة؟ الان اصبح لنا تقريباً 9 شهور وما زلتم تخبروننا ان ""الشيك عند المالية للاصدار"" تتوقعون نستلم قبل اجازة العيد؟",وزارة التجارة
"السلام عليكم.. هل من جديد؟ 
 
 افدتكم بكامل البيانات ولم يتم التواصل او حل الموضوع الى الان؟ لا يعقل لوكالة سيارات بحجم الجميح أن تتأخر على العملاء كل هذه المده (?شهور) لاصدار شيك تعويض بنظام اقر من وزارة التجارة ومعروف وواضح للجميع.",وزارة التجارة
الإخوة وزارة التجارة حاولت رفع بلاغ تجاري عبر تطبيقكم ولم أستطع لعدم عمل أيقونة تحديد تواريخ الشراء والإلغاء في تطبيقكم وتواصلت معكم هاتفيا ولم يتم الرد. والشكوى ضد أمازون السعودية لمماطلتهم بإعادة المبلغ للطلب الملغى قبل الشحن وكذلك رد أمازون مصر على طلبي..!!,وزارة التجارة
"عندنا طلب افادة الكترونيه كملت اكثر من 24 ساعه وللاسف ماتم اصدارها ومترتب على تاخيرها تاخير في الضرائب والزكاة والدخل
 ايش الحل ؟!!",وزارة التجارة
"مشكله بالسياره خالفني عليها المرور
 اشتكيت للوكاله وقالو مو عيب هذه مواصفات اشتكيت لوزارة التجاره قالت بس العيوب المصنعية نعالجها تكلمت مع المرور وراجعتهم بدون جدوى واصلا رافضين يسمعوني ?+? =? عندهم غير كذا مالهم دخل",وزارة التجارة
كل الشكر لوزارة التجارة والاستثمار على الدعوة الكريمة لورشة عمل التعريف بلائحة نظام التجارة الالكترونية. نتطلع لتعاون مثمر!,وزارة التجارة
عزيزي عندي مشكله في ادخال تاريخ الشراء وتاريخ التوصيل في التطبيق هذه الخانتين لاتعمل في التطبيق,وزارة التجارة
طلبت و كنسله و باقي عن الاذان ?? د و دافع الطلب لا اكل جاء ولا فلوس رجعت,الهيئة العامة للنقل
محل الماس شريت منه طلب مني التوقيع على فاتورة الشراء ياترى الاجراء نظامي؟,وزارة التجارة
احد يجي ويوضح لنا وين طلباتنا من بيت المسك ؟؟,وزارة التجارة
"وزارة التجارة تُـلزم وكالة سيارات بإلغاء إجراء ""غير نظامي"" قامت به ، بطلبها كامل مبلغ السيارة عند قيام المستهلك بالحجز للشراء .. 
 وتلزمها بالاكتفاء فقط بـطلب جزء من المبلغ ""عربون"" لتأكيد الحجز ، واستدعاء الوكالة المخالفة لاستكمال الإجراء النظامي بحقها.",وزارة التجارة
"شركة تويوتا اخذت مني كامل المبلغ الموظف شركة عبداللطيف جميل عندها استثناء من وزارة التجارة 
 هل هذا صحيح ؟؟؟",وزارة التجارة
السلام عليكم شوفو لنا حل نتواصل معهم ولا في احد يرد علينا طلبنا وقالو بتوصل في يوم ?? ولا وصل ولا في احد يرد علينا مع مين نتواصل,وزارة التجارة
مادام مرخصين من الهيئة العامة للنقل يمكن يفيدونا في حال تعطل النظام لمدة أسبوع وش الحل,الهيئة العامة للنقل
لي طلب عندكم المفروض التوصيل يوم ? مارس ولم يتم الالتزام بالموعد تم جدولته في ?? مارس وايضا لم يتم الالتزام بالموعد ، واضح انه ليس هناك اي احترام لعملائكم ولا هناك جديه في حل المشاكل التي يواجهونها، بالرغم من اني تقدمت باكثر من شكوى لطلب التواصل معنا من خلال المشرف.,وزارة التجارة
السلام عليكم طلبت لبس ووصلني معيوب هل يحق لي طلب استرجاع للقطعه مع العلم ان في سياسة المتجر هناك استبدال فقط,وزارة التجارة
كيف استطيع معرفة السجل التجاري لمنشأه معينه,وزارة التجارة
تم رفع بلاغ جديد لوزارة التجاره عطوني حقي وخلصوني,وزارة التجارة
"ليه ما تكتب وقت انتهاء المسابقه وقت السحب ؟ بلاغ وزاره تجاره 
 مخالف لنظام الاعلانات",وزارة التجارة
رجعوا الفلوس لي بعد شكاوي على التجاره,وزارة التجارة
"أجهزتكم والتطبيق عطلان من اكثر من أسبوعين 
 ونتواصل مع الرقم ?????????? وما فيه أي فائدة 
 يقول سوف تنحل المشكله والي الآن ما انحلّت 
 عندي ? سيارات مشترك معكم 
 أبي ترجعون لي قيمة الاشتراكات",وزارة التجارة
"السلام عليكم،،
 
 طلبت طلبية من موقع بي اند كيو خلال حملة التصفية قبل الاغلاق، لكنهم ألغو طلبي من طرفهم فقط بدون ابلاغي ولم يتم استعادة قيمة الطلب من ? أسابيع.
 
 حاولت أرفع بلاغ وطالبين رقم السجل التجاري لكن ما قدرت أحصله لأن المعرض والموقع الالكتروني أغلقوه",وزارة التجارة
"مساء الخير
 تم التجاوب في الخاص
 وارسلنا ارقام البلاغات الخاصة بالغش التجاري في الخاص ولم يتم الرد",وزارة التجارة
"السلام عليگم ورحمة الله
 الرجاء من وزارة التجارة البحث في موضوع هذا المتجر اخذ فلوس الخلق ولا عاد ردوا ولا رجعوا فلوسنا ومازالوا ينزلون اعلانات",وزارة التجارة
جاتني طلبيه كلها اغراض مكسوره و مليانه ضربات ابي اقدم شكوى,وزارة التجارة
"الجفالي كلمتهم ويقول البسام يتحمل المسؤليه لانه سلمكم الفريزر وهو عطلان والتسليم منهم هم ،، يلا ي البسام حلوها لييي الان !!!!!!
 مابي كلمه ناسف ابي حلللللل !!!!",وزارة التجارة
"الأخوة في متجر القصر
 طلبي من تاريخ 17-11-2-2023
 يعني إلى اليوم اكثر من اربعة اشهر
 لم يتم استرجاع المبلغ المدفوع ولم يتم استلام المنتج
 ماهو الحل؟؟؟؟
 مع العلم تواصلت معكم عن طريق الوتس اب وكل الردود حاظر وابشر يعني تمشية حال",وزارة التجارة
وين احصل رقم السجل التجاري او رقم وثيقة التجارة الكترونية لهذه,وزارة التجارة
مرحبا انا لي فتره احاول احمل السجل التجاري من موقع وازرة التجارة و رابط الطباعه مايشتغل ايش الحل ؟ حساباتي تجمدت بالبنك و الرابط اللي برسالة الي جتني بتجديد السجل لا يعمل,وزارة التجارة
"مافيه مدد محددة لاستلام المركبات 
 يعني لو تأخر الوكيل عادي",وزارة التجارة
"سؤال
 ليش ما يتم الزام باقي التجار بوضع مدة زمنية محددة في الفاتورة لعمل ابواب او مطابخ او مغاسل الرخام
 الناس ارتفع ضغطها من التجار 
 يعطي موعد وما يسجله
 والتاجر يلزم المواطن المستهلك بدفع كامل المبلغ وثم يسحب عليه
 والمستهلك حتى حماية المستهلك عندكم ترده وما تخدمه
 مين يحمينا منهم",وزارة التجارة
اريد حلل للموضوع دافعه مبلغ وقدره وتم خداااعي ولي اكثر من اسبوعين اطالب بحقي ولا في اي حل الى الان !!!,وزارة التجارة
انا طلبت عطر سوفت اقصاد وخلصتة من عيد الحج بس ماجابو العطر اللي يعرف يقدم شكوى يقولي تكفون,وزارة التجارة
"السلام عليكم و رحمة الله و بركاته
 لـ اول مره تتأخر طلبيتي و انا على وجه سفر من المنطقة اللي طلبت فيها ارجو افادتي عن سبب التأخير او توجيهي لـ اي فرع بالرياض حتى استلمه اتمنى التعاون و الرد
 اتمنى وزارة التجـارة",وزارة التجارة
"السلام عليكم
 اذا أشتريت منتج ومقدم الخدمة أخذ فلوسي وما قدملي أي خدمة مقابل المبلغ المدفوع وحاولت أتواصل مع المنشأة لكن لا محد يرد او يتجاوب معيا
 كيف أقدر أقدم شكوى؟",وزارة التجارة
السلام عليكم ي ليت تشوفون حل مع نون يأخذون فلوسنا ولايعطونا طلبياتنا لهم اسبوعين والمفروض تسليم من اسبوع ي ليت تكون عليهم رقابه,وزارة التجارة
"عندي طلبية يفترض يتك التوصيل امس بتاريخ 27 مارس
 ولكن لم يتم التوصيل 
 وتم الاتصال على مركز خدمة العملاء ولا احد يجيب!!!
 ياوزارة التجارة شوفيلنا حل معاهم مو معقول كل رمضان تسوء الخدمة اكثر واكثر",وزارة التجارة
"أسواقنا تنافس العالم، ومنتجاتنا تشكل هويتنا وتجارنا متمسكين بقيمنا وحضارتنا.
 المحلي سعودي، والسعودي مضمون.",وزارة التجارة
"السلام عليكم
 عندي مشكله مع احد المؤسسات نفذت لنا عوازل في مستودع ولا احتاج ارقام للتواصل معهم لا يوجد ارقام بالمستندات هل بالامكان الحصول على وسيلة للتواصل من السجل التجاري ؟",وزارة التجارة
وجدت سجلهم التجاري موجود في هذا الرابط، ماهي الخطوة المفترض ان اقوم بها بعد ذلك طالما لا يوجد تجاوب ووضوح من قبلهم ؟,وزارة التجارة
"كم مده استرجاع الملابس للمحلات 
 لان مو معقول اني مشتريه فستان من محل في مول الساعه ? بمبلغ كبير ويقولون اذا مارجع قبل ? ماعاد فيه الا استبدال",وزارة التجارة
"اسواء شركه اتعاملت معاهم لا خدمة عملاء
 تقدر تتفاهم معاهم ولا في لهم رقم اتصال 
 وهذا يعتبر مخالفة",وزارة التجارة
"السلام عليكم ورحمة الله وبركاته 
 مساء الخير معالي وزيرالتجارة ،،، 
 تم التواصل معكم عن طريق ارسال برقيه بتاريخ 23 يناير 2024 ولم اجد رد حتي تاريخه آمل من معاليكم النظر في امري .
 شاكر و مقدر",وزارة التجارة
"السلام عليكم ،،، مازلت انتظر الرد على البرقية بتاريخ 23 / 1 / 2024 مع العلم بتواصلي كذلك عن طريق الايميل
 minister@mci.gov.sa
 ولم احصل على اي تجاوب او رد !",وزارة التجارة
اشتكيت علئ شركة الكترونيات رفضت استرجاع المبلغ بحجة فتح البضاعه والادهئ انه استرجع الفرن مع نفس المندوب اللي وصله للاسف وزارة التجاره ردت علي ان المنتح قد فتح كيف باعرف عيوب المنتج اذا مافتحته مافي انسان بيشتري منتج ويرجعه من دون مايفتحه بحجة سياسة الشركه وزير التجاره ليته يشوف,وزارة التجارة
طلبت لاندكروزر GXR3 والزمتوني بدفع المبلغ كاملا ودفعت المبلغ كامل ??? الف ريال عبر حوالة بنكية ولي الان انتظر شهرين ونص من تاريخ ????/?/?? ولم يتم توفير السيارة - هل طلبكم لسداد كامل المبلغ نظامي ام مخالف لوزارة التجارة ؟,وزارة التجارة
"ردوووو على الواتس ترا ماشفت متجر يطنش العملاء زيكم
 طول السنة عندكم ضغط مو معقولة
 طيب اذا ربي فاتحها عليكم زيدو عدد الموظفين حقين التواصل وخدمة العملاء !!!",وزارة التجارة
لديهم سجل تجاري ولكنه ليس موثق في منصة الاعمال ، هل هذا يعني انني تعرضت للسرقة ؟,وزارة التجارة
اجتمعت اليوم في غرفة جدة بمجتمع الأعمال والمستثمرين من رجال وسيدات، ناقشنا تحدياتهم واستمعنا لمقترحاتهم لتطوير بيئة الأعمال.,وزارة التجارة
"السلام عليكم 
 
 معاليك لي ? اسابيع لم اتمكن من الحصول على خدمات الغرفة التجارية ، وتم فتح بلاغ لدى المركز السعودي للأعمال ولم يحلو الاشكال ، يطلبون مني ادفع مرتين.
 
 رقم الطلب 
  CAS-0351267",وزارة التجارة
رفعت هذا البلاغ,وزارة التجارة
السلام عليكم. أنا عندي شكوى على شركة اليسر,وزارة التجارة
"طلبيتي صار لها ?? يوم ماجات وتجاوزت التوصيل المتوقع بيومين وللان ماجات !! 
 الى متى هذا الاستهتار اذا لم يتم الرد سيرفع البلاغ للجهات المختصة",وزارة التجارة
